ID	niches
anoxic_mOTU_2719	Freshwater
3300013137_79	Freshwater
3300014203_22	Freshwater
3300014160_13	Freshwater
3300017988_25	Freshwater
anoxic_mOTU_0298	Freshwater
3300020192_19	Freshwater
3300027878_46	Freshwater
3300009083_63	Freshwater
3300009084_79	Freshwater
3300027823_22	Freshwater
3300020192_16	Freshwater
3300027976_27	Freshwater
3300027983_8	Freshwater
3300027823_27	Freshwater
3300027878_44	Freshwater
3300020192_27	Freshwater
3300025409_10	Freshwater
3300025454_9	Freshwater
3300025477_8	Freshwater
3300025501_11	Freshwater
3300020074_67	Freshwater
3300027900_49	Freshwater
anoxic_mOTU_0635	Freshwater
anoxic_mOTU_2271	Freshwater
3300027819_40	Freshwater
3300027831_10	Freshwater
anoxic_mOTU_2059	Freshwater
3300013128_14	Freshwater
3300013133_25	Freshwater
3300014720_26	Freshwater
3300014199_13	Freshwater
3300000227_16	Freshwater
3300027726_3	Freshwater
anoxic_mOTU_1669	Freshwater
anoxic_mOTU_0595	Freshwater
anoxic_mOTU_0825	Freshwater
anoxic_mOTU_0788	Freshwater
anoxic_mOTU_1112	Freshwater
anoxic_mOTU_0582	Freshwater
3300017473_2	Freshwater
anoxic_mOTU_2619	Freshwater
anoxic_mOTU_3620	Freshwater
anoxic_mOTU_3474	Freshwater
3300014060_29	Freshwater
anoxic_mOTU_0823	Freshwater
anoxic_mOTU_2036	Freshwater
3300014208_17	Freshwater
3300014060_39	Freshwater
3300024054_65	Freshwater
anoxic_mOTU_1276	Freshwater
3300027851_70	Freshwater
3300013126_24	Freshwater
3300013138_53	Freshwater
3300013126_35	Freshwater
3300027878_55	Freshwater
3300013125_114	Freshwater
3300014208_125	Freshwater
3300024054_73	Freshwater
3300017463_4	Freshwater
3300017490_1	Freshwater
3300024333_11	Freshwater
anoxic_mOTU_1024	Freshwater
3300013138_135	Freshwater
3300024054_58	Freshwater
3300017929_13	Freshwater
3300017940_15	Freshwater
3300018013_16	Freshwater
3300018019_11	Freshwater
3300018024_17	Freshwater
3300018026_13	Freshwater
3300020200_14	Freshwater
anoxic_mOTU_0854	Freshwater
3300020074_56	Freshwater
3300020220_60	Freshwater
3300009760_6	Freshwater
3300018030_14	Freshwater
3300025477_6	Freshwater
3300025460_6	Freshwater
3300025480_9	Freshwater
anoxic_mOTU_1390	Freshwater
anoxic_mOTU_2772	Freshwater
anoxic_mOTU_0444	Freshwater
